종목명,상장유형,공모가,상장일,상장주식수,경쟁률,공모 시가총액,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,1개월 후 PER,3개월 후 PER,1개월 후 PBR,3개월 후 PBR,1개월 후 EV/EBITDA,3개월 후 EV/EBITDA,1개월 평균 거래량회전율,1개월 평균 일중변동률,1개월 평균 개인 매도수량 비중,1개월 평균 개인 매수수량 비중,1개월 시가총액회전율,3개월 평균 거래량회전율,3개월 평균 일중변동률,3개월 평균 개인 매도수량 비중,3개월 평균 개인 매수수량 비중,3개월 시가총액회전율,1년전 대비 시장 회전율,1년 전 대비 시장수익률,1년 전 대비 광의통화 증감률,1년 전 대비 고객예탁금 증감률,1달 후 시장 회전율,1달 후 시장수익률,1달 후 광의통화 증감률,1달 후 고객예탁금 증감률,3달 후 시장 회전율,3달 후 시장수익률,3달 후 광의통화 증감률,3달 후 고객예탁금 증감률,상장일 기준 국고3년시장금리,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률,1_3_수익률,3_6_수익률,Cat,종가_PER,종가_PBR,종가_EV/EBITDA,종가 대비 1개월 수익률,종가 대비 3개월 수익률,종가 대비 6개월 수익률
코오롱생명과학,신규상장,23500,2009-04-07,3420000,,80370000000,0.265038949,0.116337962,0.312493146,1.521216174,0.790164089,1.267153798,10.07854764,13.0373982,4.458561454,0.222942325,0.964914584,10.59105102,3.309630853,8.426985907,35.32815918,31.53170028,11.03980761,9.853440223,28.33870684,25.31805924,0.15173913,8.326521739,84.24608696,95.35,384.4465255,0.082121212,6.581212121,89.05257576,93.38560606,606.9986254,610.4222813,-0.441706161,0.101129375,-0.002811353,125.3367059,0.120766731,0.007866064,0.03556176,318.7071707,0.109448939,0.021391647,-0.107764994,3.94,1.85106383,1.544680851,0.953191489,-0.107462687,-0.232441472,5,24.33688319,7.605109194,19.59351235,0.240740741,0.107407407,-0.15
뷰웍스,신규상장,9000,2009-04-10,6047910,,54431190000,0.588840251,0.295151347,0.306970248,6.590178012,4.291268083,0.116097743,inf,6.458550549,3.962961197,0.272505653,0.22886369,8.81224738,2.705097763,7.694457127,17.72240862,12.43506019,5.440252167,3.81719351,14.65257296,10.03540459,0.117142857,10.1647619,83.80571429,98.3647619,259.0248709,0.059848485,7.620454545,93.02166667,98.23393939,459.6866927,614.8547166,-0.420971992,0.101129375,-0.051091301,122.6663699,0.049811458,0.007866064,-0.012951107,314.8158239,0.00407493,0.021391647,-0.140916571,3.88,1.011111111,0.411111111,0.588888889,-0.298342541,0.125984252,5,20.26816897,6.221724854,16.87565402,-0.125603865,-0.38647343,-0.309178744
에스앤에스텍,신규상장,4000,2009-04-14,10915980,,43663920000,0.274725086,0.147742107,0.128666546,1.772446461,1.409949115,0.931423585,4.224838753,4.326092347,8.318568133,0.347533593,0.53917424,11.32482898,1.45712663,4.38134166,21.59325652,18.69043229,2.778329737,2.404833369,9.836695094,8.714033332,0.129565217,10.88956522,86.11347826,98.80782609,342.4328977,0.074242424,8.195454545,89.2530303,98.61333333,554.0221113,620.0914246,-0.392742929,0.101129375,0.049892352,119.7951463,0.055241016,0.007866064,-0.042679819,307.7517888,-0.063753244,0.021391647,-0.160575011,3.78,0.425,0.1575,0.3875,-0.187719298,0.198704104,5,26.04710664,3.351391249,11.55921318,-0.380434783,-0.49673913,-0.39673913
에이테크솔루션,신규상장,5400,2009-04-17,10000000,,54000000000,0.142112329,0.070574541,0.378316893,0.850896063,0.270432199,2.723670268,10.46165931,11.08680718,4.05256838,0.144141689,0.8687101,6.829341583,2.583655289,4.703348548,12.17899249,10.40842245,4.6075186,3.937682043,9.617427263,8.398360006,0.092380952,10.18285714,90.59571429,97.1352381,201.9451075,0.047727273,7.536969697,94.15545455,96.77818182,341.3430212,624.2930862,-0.384881546,0.101129375,0.102989808,118.7211358,0.123480777,0.007866064,-0.025820003,299.7051295,0.004278628,0.021391647,-0.1926127,3.72,0.783333333,0.524074074,2.037037037,-0.145379024,0.992709599,5,15.68219178,5.932838072,12.02943891,-0.223387097,-0.336290323,0.322580645
엔에스브이,신규상장,4300,2009-04-17,8450000,,36335000000,0.290371619,0.172593227,0.229065433,1.294780977,0.612895127,1.410723841,8.921393338,3.751355587,3.024717916,0.071950449,0.220514065,14.4147611,3.301923485,6.625795451,23.66702636,25.61134297,5.421297629,5.866673355,12.56349691,13.45698122,0.156666667,9.766190476,94.47142857,96.37428571,339.3405661,0.088939394,8.81530303,91.66924242,90.30030303,569.6624854,624.2930862,-0.384881546,0.101129375,0.102989808,118.7211358,0.123480777,0.007866064,-0.025820003,299.7051295,0.004278628,0.021391647,-0.1926127,3.72,0.641860465,0.776744186,0.813953488,0.082152975,0.020942408,5,33.15395052,7.594424016,16.92308415,-0.286147624,-0.227502528,-0.21132457
에스티오,신규상장,5000,2009-04-17,4998801,,24994005000,0.691725208,0.111435878,0.252757975,1.922324119,0.483259414,1.078552964,15.86825504,17.34611531,3.304594682,0.320880798,-0.104477207,4.881882835,1.23393482,2.705915664,6.072337164,4.498403618,1.534831646,1.13700739,4.131767035,3.259619049,0.06952381,8.691904762,95.26857143,98.63047619,167.0639184,0.028484848,6.502121212,97.30439394,97.01121212,240.1253833,624.2930862,-0.384881546,0.101129375,0.102989808,118.7211358,0.123480777,0.007866064,-0.025820003,299.7051295,0.004278628,0.021391647,-0.1926127,3.72,0.196,-0.114,-0.198,-0.259197324,-0.094808126,4,11.22833052,2.838050086,6.988805845,-0.48,-0.614782609,-0.651304348
티플랙스,신규상장,3000,2009-04-23,5753000,,17259000000,0.125885787,0.092773182,0.174179097,2.281101154,1.170917394,1.148893064,4.979008229,6.509284196,4.89297447,0.091977896,0.026525945,4.839918687,0.843012666,2.95145775,8.711853636,8.405325453,1.517422799,1.464031997,8.270167652,8.083429643,0.08,7.175454545,94.21227273,97.38818182,193.2237926,0.041969697,6.279393939,95.92924242,97.47484848,302.7529744,630.9679025,-0.371073339,0.101129375,0.065711597,121.9763261,0.077807388,0.007866064,0.009921515,291.9551608,-0.031511992,0.021391647,-0.085313111,3.7,0.8,0.736666667,0.461666667,-0.035185185,-0.158349328,5,11.13181298,1.938929132,9.744415089,-0.217391304,-0.244927536,-0.364492754
네프로아이티,신규상장,4500,2009-04-24,3400000,,15300000000,0.728706229,0.180836122,0.127141552,0.989672305,0.922943722,1.743850415,13.90034638,2.218900699,25.54745811,1.162867139,1.225149491,9.673509568,1.22990502,1.477820513,27.30079367,24.72119112,3.471065279,3.143090607,5.77059061,5.376932975,0.132857143,10.87952381,94.14666667,98.63952381,304.6863851,0.052424242,8.162424242,96.29787879,97.82878788,396.3900243,632.2672974,-0.364370598,0.101129375,0.077248762,122.5911649,0.091802956,0.007866064,0.00251808,290.4737775,-0.014738916,0.021391647,-0.091400394,3.57,1.822222222,1.555555556,0.031111111,-0.094488189,-0.596521739,5,22.24907201,2.828781546,4.999677741,0.22705314,0.111111111,-0.551690821
우림피티에스,신규상장,10000,2009-04-28,8687300,,86873000000,0.317355838,0.262267063,0.385465811,1.305985611,0.956427596,0.634813301,60.6051024,4.097944148,9.104855981,0.711707734,0.831805763,7.918851484,3.052446507,5.457431031,14.35680947,11.07525302,5.5340592,4.269131383,10.04363853,7.78215187,0.093478261,10.73347826,93.82608696,92.94478261,221.3839544,0.060151515,8.924545455,89.08181818,92.75924242,414.7237508,640.699454,-0.349536751,0.101129375,0.122119201,122.8305842,0.087072616,0.007866064,-0.02770998,285.2449036,0.051713708,0.021391647,-0.059027962,3.5,0.75,0.35,-0.003,-0.228571429,-0.261481481,5,14.57068673,5.616501574,10.19103218,-0.048913043,-0.266304348,-0.458152174
신텍,신규상장,12500,2009-04-30,5450217,,68127712500,0.188360142,0.147335149,0.181350722,1.070210473,0.978136475,2.347741573,11.16674113,2.216169651,19.54592176,0.659928885,1.2871409,16.83844596,3.053664339,5.343767928,49.30296978,40.9718571,8.941129184,7.430275882,17.12357197,14.48038319,0.100454545,11.40181818,87.86863636,91.92772727,227.9614622,0.055,8.538181818,87.99227273,91.8830303,360.0703876,644.4024317,-0.363219066,0.088467457,0.179681192,121.0261723,0.055531159,0,0.020879606,282.6400284,0.003832488,0.01342002,0.01018056,3.59,1.928,1.056,1.048,-0.297814208,-0.003891051,5,35.4280903,6.424909769,12.72152783,0.391634981,-0.022813688,-0.02661597
