종목명,상장일,공모 시가총액,매출총이익률,유동비율,부채비율,매출액증가율,1개월 후 PER,1개월 후 PBR,1개월 후 EV/EBITDA,1개월 평균 거래량회전율,1개월 평균 일중변동률,1달 후 시장 회전율,1달 후 시장수익률,1달 후 고객예탁금 증감률,상장일 기준 국고3년시장금리,1_3_수익률,개인거래비중
코오롱생명과학,2009-04-07,80370000000.0,0.265038949,1.521216174,1.267153798,0.222942325,35.32815918,11.03980761,28.33870684,0.15173913,8.326521739,125.3367059,0.120766731,0.03556176,3.94,-0.107462687,89.79804347999999
뷰웍스,2009-04-10,54431190000.0,0.588840251,6.590178012,0.116097743,0.272505653,17.72240862,5.440252167,14.65257296,0.117142857,10.1647619,122.6663699,0.049811458,-0.012951107,3.88,-0.298342541,91.085238095
에스앤에스텍,2009-04-14,43663920000.0,0.274725086,1.772446461,0.931423585,0.347533593,21.59325652,2.778329737,9.836695094,0.129565217,10.88956522,119.7951463,0.055241016,-0.042679819,3.78,-0.187719298,92.460652175
에이테크솔루션,2009-04-17,54000000000.0,0.142112329,0.850896063,2.723670268,0.144141689,12.17899249,4.6075186,9.617427263,0.092380952,10.18285714,118.7211358,0.123480777,-0.025820003,3.72,-0.145379024,93.865476195
엔에스브이,2009-04-17,36335000000.0,0.290371619,1.294780977,1.410723841,0.071950449,23.66702636,5.421297629,12.56349691,0.156666667,9.766190476,118.7211358,0.123480777,-0.025820003,3.72,0.082152975,95.42285713999999
에스티오,2009-04-17,24994005000.0,0.691725208,1.922324119,1.078552964,0.320880798,6.072337164,1.534831646,4.131767035,0.06952381,8.691904762,118.7211358,0.123480777,-0.025820003,3.72,-0.259197324,96.94952380999999
티플랙스,2009-04-23,17259000000.0,0.125885787,2.281101154,1.148893064,0.091977896,8.711853636,1.517422799,8.270167652,0.08,7.175454545,121.9763261,0.077807388,0.009921515,3.7,-0.035185185,95.800227275
네프로아이티,2009-04-24,15300000000.0,0.728706229,0.989672305,1.743850415,1.162867139,27.30079367,3.471065279,5.77059061,0.132857143,10.87952381,122.5911649,0.091802956,0.00251808,3.57,-0.094488189,96.39309524000001
우림피티에스,2009-04-28,86873000000.0,0.317355838,1.305985611,0.634813301,0.711707734,14.35680947,5.5340592,10.04363853,0.093478261,10.73347826,122.8305842,0.087072616,-0.02770998,3.5,-0.228571429,93.385434785
신텍,2009-04-30,68127712500.0,0.188360142,1.070210473,2.347741573,0.659928885,49.30296978,8.941129184,17.12357197,0.100454545,11.40181818,121.0261723,0.055531159,0.020879606,3.59,-0.297814208,89.898181815
흥국,2009-05-12,22377600000.0,0.142157743,1.637208376,0.497206227,0.043209444,15.74789527,2.407983918,9.261082052,0.1325,11.03333333,120.2475022,-0.003648941,-0.097719848,3.83,-0.078488372,96.55
SDN,2009-05-19,100000000000.0,0.169879253,1.133604482,3.241686975,0.687487794,29.20928768,7.809808319,23.37073562,0.111666667,9.977083333,107.4962802,-0.078552468,-0.131722562,3.86,-0.078512397,98.50999999999999
한국정밀기계,2009-05-19,168080000000.0,0.299962662,1.112001866,2.111226469,0.74256552,22.2860519,9.320515374,15.96727314,0.0925,11.02916667,107.4962802,-0.078552468,-0.131722562,3.86,-0.295690936,84.28854167
에이치디,2009-05-21,69275000000.0,0.190853361,1.193218546,1.651147907,0.447763442,9.092567005,2.555180523,4.083931018,0.077727273,9.114545455,103.2327867,-0.087418403,-0.122271095,3.84,0.108910891,97.227954545
스맥,2009-05-26,19775000000.0,0.643895876,8.055924922,0.206539662,-0.142907884,9.450113052,1.431180196,7.622830497,0.0975,8.779166667,92.08100426,-0.061877959,-0.189931756,3.79,-0.109207709,97.005625
이엔에프테크놀로지,2009-05-28,78100000000.0,0.280309778,1.90676248,0.806979668,0.342002855,13.01648495,3.292089411,7.587384656,0.057727273,8.444090909,89.02314377,-0.034100286,-0.159517865,3.87,0.277945619,97.18409091
차이나그레이트,2009-05-29,170000000000.0,0.263470124,1.549808924,1.096350652,-0.162964661,16.98364586,4.296557664,10.80631711,0.125454545,8.448636364,87.71959799,-0.070272315,-0.130512069,3.83,-0.219512195,95.019318185
