종목명,상장일,공모 시가총액,매출총이익률,유동비율,부채비율,매출액증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,1년 전 대비 시장수익률,1년 전 대비 고객예탁금 증감률,상장일 기준 국고3년시장금리,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률
코오롱생명과학,2009-04-07,80370000000.0,0.265038949,1.521216174,1.267153798,0.222942325,10.59105102,3.309630853,8.426985907,-0.441706161,-0.002811353,3.94,1.85106383,1.544680851,0.953191489
뷰웍스,2009-04-10,54431190000.0,0.588840251,6.590178012,0.116097743,0.272505653,8.81224738,2.705097763,7.694457127,-0.420971992,-0.051091301,3.88,1.011111111,0.411111111,0.588888889
에스앤에스텍,2009-04-14,43663920000.0,0.274725086,1.772446461,0.931423585,0.347533593,11.32482898,1.45712663,4.38134166,-0.392742929,0.049892352,3.78,0.425,0.1575,0.3875
에이테크솔루션,2009-04-17,54000000000.0,0.142112329,0.850896063,2.723670268,0.144141689,6.829341583,2.583655289,4.703348548,-0.384881546,0.102989808,3.72,0.783333333,0.524074074,2.037037037
엔에스브이,2009-04-17,36335000000.0,0.290371619,1.294780977,1.410723841,0.071950449,14.4147611,3.301923485,6.625795451,-0.384881546,0.102989808,3.72,0.641860465,0.776744186,0.813953488
에스티오,2009-04-17,24994005000.0,0.691725208,1.922324119,1.078552964,0.320880798,4.881882835,1.23393482,2.705915664,-0.384881546,0.102989808,3.72,0.196,-0.114,-0.198
티플랙스,2009-04-23,17259000000.0,0.125885787,2.281101154,1.148893064,0.091977896,4.839918687,0.843012666,2.95145775,-0.371073339,0.065711597,3.7,0.8,0.736666667,0.461666667
네프로아이티,2009-04-24,15300000000.0,0.728706229,0.989672305,1.743850415,1.162867139,9.673509568,1.22990502,1.477820513,-0.364370598,0.077248762,3.57,1.822222222,1.555555556,0.031111111
우림피티에스,2009-04-28,86873000000.0,0.317355838,1.305985611,0.634813301,0.711707734,7.918851484,3.052446507,5.457431031,-0.349536751,0.122119201,3.5,0.75,0.35,-0.003
신텍,2009-04-30,68127712500.0,0.188360142,1.070210473,2.347741573,0.659928885,16.83844596,3.053664339,5.343767928,-0.363219066,0.179681192,3.59,1.928,1.056,1.048
흥국,2009-05-12,22377600000.0,0.142157743,1.637208376,0.497206227,0.043209444,8.31326926,1.271167883,4.266955632,-0.244960125,0.371856036,3.83,0.638095238,0.50952381,-0.045238095
SDN,2009-05-19,100000000000.0,0.169879253,1.133604482,3.241686975,0.687487794,24.13990718,6.45438704,15.23779064,-0.258714472,0.362855633,3.86,0.21,0.115,0.18
한국정밀기계,2009-05-19,168080000000.0,0.299962662,1.112001866,2.111226469,0.74256552,7.285187841,3.046825234,5.20645193,-0.258714472,0.362855633,3.86,2.059090909,1.154545455,0.734090909
에이치디,2009-05-21,69275000000.0,0.190853361,1.193218546,1.651147907,0.447763442,7.65216035,2.15039945,5.826191413,-0.22973601,0.346104669,3.84,0.188235294,0.317647059,-0.094117647
