종목명,상장일,공모 시가총액,매출총이익률,유동비율,부채비율,매출액증가율,1년 전 대비 시장수익률,1년 전 대비 고객예탁금 증감률,상장일 기준 국고3년시장금리,종가_PER,종가_PBR,종가_EV/EBITDA,종가 대비 1개월 수익률,종가 대비 3개월 수익률,종가 대비 6개월 수익률
코오롱생명과학,2009-04-07,80370000000.0,0.265038949,1.521216174,1.267153798,0.222942325,-0.441706161,-0.002811353,3.94,24.33688319,7.605109194,19.59351235,0.240740741,0.107407407,-0.15
뷰웍스,2009-04-10,54431190000.0,0.588840251,6.590178012,0.116097743,0.272505653,-0.420971992,-0.051091301,3.88,20.26816897,6.221724854,16.87565402,-0.125603865,-0.38647343,-0.309178744
에스앤에스텍,2009-04-14,43663920000.0,0.274725086,1.772446461,0.931423585,0.347533593,-0.392742929,0.049892352,3.78,26.04710664,3.351391249,11.55921318,-0.380434783,-0.49673913,-0.39673913
에이테크솔루션,2009-04-17,54000000000.0,0.142112329,0.850896063,2.723670268,0.144141689,-0.384881546,0.102989808,3.72,15.68219178,5.932838072,12.02943891,-0.223387097,-0.336290323,0.322580645
엔에스브이,2009-04-17,36335000000.0,0.290371619,1.294780977,1.410723841,0.071950449,-0.384881546,0.102989808,3.72,33.15395052,7.594424016,16.92308415,-0.286147624,-0.227502528,-0.21132457
에스티오,2009-04-17,24994005000.0,0.691725208,1.922324119,1.078552964,0.320880798,-0.384881546,0.102989808,3.72,11.22833052,2.838050086,6.988805845,-0.48,-0.614782609,-0.651304348
티플랙스,2009-04-23,17259000000.0,0.125885787,2.281101154,1.148893064,0.091977896,-0.371073339,0.065711597,3.7,11.13181298,1.938929132,9.744415089,-0.217391304,-0.244927536,-0.364492754
네프로아이티,2009-04-24,15300000000.0,0.728706229,0.989672305,1.743850415,1.162867139,-0.364370598,0.077248762,3.57,22.24907201,2.828781546,4.999677741,0.22705314,0.111111111,-0.551690821
우림피티에스,2009-04-28,86873000000.0,0.317355838,1.305985611,0.634813301,0.711707734,-0.349536751,0.122119201,3.5,14.57068673,5.616501574,10.19103218,-0.048913043,-0.266304348,-0.458152174
신텍,2009-04-30,68127712500.0,0.188360142,1.070210473,2.347741573,0.659928885,-0.363219066,0.179681192,3.59,35.4280903,6.424909769,12.72152783,0.391634981,-0.022813688,-0.02661597
흥국,2009-05-12,22377600000.0,0.142157743,1.637208376,0.497206227,0.043209444,-0.244960125,0.371856036,3.83,19.1205193,2.92368613,10.99167151,-0.287784679,-0.3436853,-0.584886128
SDN,2009-05-19,100000000000.0,0.169879253,1.133604482,3.241686975,0.687487794,-0.258714472,0.362855633,3.86,41.0378422,10.97245797,30.83483293,-0.288235294,-0.344117647,-0.305882353
한국정밀기계,2009-05-19,168080000000.0,0.299962662,1.112001866,2.111226469,0.74256552,-0.258714472,0.362855633,3.86,16.75593203,7.007698037,12.01513347,0.330039526,-0.063241107,-0.246047431
에이치디,2009-05-21,69275000000.0,0.190853361,1.193218546,1.651147907,0.447763442,-0.22973601,0.346104669,3.84,14.58411737,4.098408363,8.267119942,-0.37654321,-0.308641975,-0.524691358
스맥,2009-05-26,19775000000.0,0.643895876,8.055924922,0.206539662,-0.142907884,-0.208391827,0.409978308,3.79,16.28980944,2.467023678,14.0883419,-0.419875776,-0.483229814,-0.583229814
이엔에프테크놀로지,2009-05-28,78100000000.0,0.280309778,1.90676248,0.806979668,0.342002855,-0.252106216,0.442542647,3.87,18.38431032,4.649703322,10.62714144,-0.29197861,-0.095187166,-0.005347594
차이나그레이트,2009-05-29,170000000000.0,0.263470124,1.549808924,1.096350652,-0.162964661,-0.235513296,0.407240553,3.83,21.9863333,5.56214782,14.06263864,-0.227536232,-0.397101449,-0.402898551
어보브반도체,2009-06-05,34804548900.0,0.225494911,3.296649769,0.516396685,0.301578811,-0.2128274,0.4606003,3.87,17.38383378,3.986653689,13.5821794,-0.421404682,-0.476588629,-0.423076923
동일금속,2009-07-28,56000000000.0,0.201257067,1.364873199,0.722219261,0.705755493,-0.074827681,0.285839517,4.16,6.151834771,2.630534387,4.553201741,-0.1,-0.316521739,-0.299130435
게임빌,2009-07-30,82271700000.0,0.779686056,6.099886009,0.295295929,0.2521887,-0.099121683,0.329769221,4.15,17.50426117,6.386457167,11.51742172,-0.139465875,0.118694362,0.6884273
에스앤더블류,2009-08-05,48240000000.0,0.19486623,1.435058404,1.405741126,0.315162772,-0.033288384,0.420667515,4.43,25.25637073,2.117248298,7.318817069,-0.277647059,-0.463529412,-0.422352941
동국S&C,2009-08-31,628573000000.0,0.268728095,0.891118583,4.806292315,1.242231827,0.072446202,0.77498797,4.38,106.1952905,11.25916244,10.1006318,0.024217962,-0.028254289,0.019172553
제넥신,2009-09-15,108617000000.0,0.91552712,23.96895795,1.071132781,0.106347585,0.13752115,0.740460404,4.47,-206.3806957,15.34525875,-1298.549421,-0.352398524,-0.383763838,-0.464944649
톱텍,2009-09-15,58240000000.0,0.115499118,1.25869227,1.533230091,0.926737869,0.13752115,0.740460404,4.47,18.60527935,6.527414648,16.51013263,-0.016286645,0.166123779,0.117263844
디에스케이,2009-09-23,30000000000.0,0.240054624,2.425656829,0.736143404,0.025215372,0.14901732,0.503977994,4.47,24.61765921,6.397481061,23.38293754,-0.523478261,-0.39826087,-0.453043478
모린스,2009-09-25,276644000000.0,0.302392997,4.427359164,0.188231016,66.93600295,0.132275015,0.494225152,4.43,21.54897419,8.699714548,17.26296094,-0.231629393,-0.305111821,-0.322683706
케이엔더블유,2009-09-29,48400000000.0,0.254698602,2.001218157,1.50751912,0.211968719,0.16621455,0.476740582,4.47,18.98492818,5.203471021,11.90392316,0.088235294,0.389705882,0.411764706
아이앤씨,2009-10-06,185299000000.0,0.579193258,2.815116829,1.007462486,2.386423099,0.27665543,0.542661478,4.44,22.06853119,11.72540621,15.10570382,-0.201465201,0.062271062,-0.223443223
NHN벅스,2009-10-06,91268424000.0,0.368807723,1.145964064,1.356881771,1.195312957,0.27665543,0.542661478,4.44,23.04717111,6.33958265,19.15115399,-0.331901182,0.605800215,0.321160043
셀바스AI,2009-12-10,32194494000.0,0.489981913,1.440704819,1.141115893,0.75776506,0.489865803,0.12516538,4.26,39.80534135,9.376358481,34.00748705,0.766798419,0.881422925,0.43083004
멜파스,2009-12-18,222437000000.0,0.226600577,1.78738381,0.630556887,-0.011689779,0.388598296,0.061402486,4.2,93.22703007,14.09646562,103.2643882,0.49516441,0.541586074,0.044487427
위메이드,2009-12-18,442680000000.0,0.923238706,4.419111071,0.443570986,0.842309722,0.388598296,0.061402486,4.2,14.71547652,4.805275553,8.82139793,0.236686391,-0.045364892,-0.087771203
ITX-AI,2009-12-22,34398000000.0,0.320826243,1.366171338,1.481698433,0.241055825,0.385475668,0.075079348,4.31,11.04560505,4.195485649,8.95759787,-0.347826087,-0.417156287,-0.475323149
디와이피엔에프,2009-12-22,78000000000.0,0.222935035,1.142358333,2.128681201,0.737009073,0.385475668,0.075079348,4.31,21.67077087,10.26929217,14.24404347,-0.148788927,-0.273356401,-0.444290657
KPX생명과학,2009-12-22,93000000000.0,0.15459907,4.201465405,0.25201572,0.333647835,0.385475668,0.075079348,4.31,14.66071564,3.307900844,12.27523787,-0.167182663,-0.287151703,-0.397832817
코디,2010-01-05,29210124000.0,0.297837907,1.046079512,1.195992993,0.77402056,0.410946115,0.148974426,4.36,25.79620643,5.052704246,16.78852253,0.637168142,0.713021492,0.396965866
승화프리텍,2010-01-06,35737800000.0,0.175886315,1.033174383,1.526689681,-0.077289469,0.388105967,0.137830875,4.43,21.95009801,5.641743533,10.87570827,-0.240641711,-0.263368984,-0.502673797
폴라리스우노,2010-01-15,68250000000.0,0.467820757,5.246947221,0.356931817,0.801960111,0.465880297,0.172012414,4.24,14.97859564,5.397651884,12.08120506,-0.174107143,-0.286458333,-0.324404762
아세아텍,2010-01-26,71750000000.0,0.223632622,2.281267411,0.57017635,0.177019918,0.448828048,0.19094642,4.21,8.738562763,1.502226021,5.816602488,-0.020588235,0.057352941,-0.129411765
우리넷,2010-01-27,37041486000.0,0.283992631,2.562296687,0.559897796,2.340266509,0.448828048,0.19094642,4.23,7.972827831,3.899006559,6.610048283,-0.356989247,-0.382795699,-0.557526882
