종목명,상장유형,공모가,상장일,상장주식수,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA
코오롱생명과학,신규상장,23500,2009-04-07,3420000,0.265038949,0.116337962,0.312493146,1.521216174,0.790164089,1.267153798,10.07854764,13.0373982,4.458561454,0.222942325,0.964914584,10.59105102,3.309630853,8.426985907
뷰웍스,신규상장,9000,2009-04-10,6047910,0.588840251,0.295151347,0.306970248,6.590178012,4.291268083,0.116097743,inf,6.458550549,3.962961197,0.272505653,0.22886369,8.81224738,2.705097763,7.694457127
에스앤에스텍,신규상장,4000,2009-04-14,10915980,0.274725086,0.147742107,0.128666546,1.772446461,1.409949115,0.931423585,4.224838753,4.326092347,8.318568133,0.347533593,0.53917424,11.32482898,1.45712663,4.38134166
에이테크솔루션,신규상장,5400,2009-04-17,10000000,0.142112329,0.070574541,0.378316893,0.850896063,0.270432199,2.723670268,10.46165931,11.08680718,4.05256838,0.144141689,0.8687101,6.829341583,2.583655289,4.703348548
엔에스브이,신규상장,4300,2009-04-17,8450000,0.290371619,0.172593227,0.229065433,1.294780977,0.612895127,1.410723841,8.921393338,3.751355587,3.024717916,0.071950449,0.220514065,14.4147611,3.301923485,6.625795451
에스티오,신규상장,5000,2009-04-17,4998801,0.691725208,0.111435878,0.252757975,1.922324119,0.483259414,1.078552964,15.86825504,17.34611531,3.304594682,0.320880798,-0.104477207,4.881882835,1.23393482,2.705915664
티플랙스,신규상장,3000,2009-04-23,5753000,0.125885787,0.092773182,0.174179097,2.281101154,1.170917394,1.148893064,4.979008229,6.509284196,4.89297447,0.091977896,0.026525945,4.839918687,0.843012666,2.95145775
네프로아이티,신규상장,4500,2009-04-24,3400000,0.728706229,0.180836122,0.127141552,0.989672305,0.922943722,1.743850415,13.90034638,2.218900699,25.54745811,1.162867139,1.225149491,9.673509568,1.22990502,1.477820513
우림피티에스,신규상장,10000,2009-04-28,8687300,0.317355838,0.262267063,0.385465811,1.305985611,0.956427596,0.634813301,60.6051024,4.097944148,9.104855981,0.711707734,0.831805763,7.918851484,3.052446507,5.457431031
신텍,신규상장,12500,2009-04-30,5450217,0.188360142,0.147335149,0.181350722,1.070210473,0.978136475,2.347741573,11.16674113,2.216169651,19.54592176,0.659928885,1.2871409,16.83844596,3.053664339,5.343767928
흥국,신규상장,4200,2009-05-12,5328000,0.142157743,0.091481428,0.152908302,1.637208376,0.391288362,0.497206227,12.51552579,22.10794935,4.713726904,0.043209444,-0.346418012,8.31326926,1.271167883,4.266955632
SDN,신규상장,10000,2009-05-19,10000000,0.169879253,0.066375325,0.267374145,1.133604482,0.945555182,3.241686975,4.8998198,10.24563811,16.51925057,0.687487794,0.026833213,24.13990718,6.45438704,15.23779064
한국정밀기계,신규상장,22000,2009-05-19,7640000,0.299962662,0.228509575,0.418221918,1.112001866,0.324606338,2.111226469,67.42098503,7.42746441,1.49036393,0.74256552,0.914903994,7.285187841,3.046825234,5.20645193
에이치디,신규상장,8500,2009-05-21,8150000,0.190853361,0.155836471,0.281018608,1.193218546,0.956324047,1.651147907,65.67053121,7.839788572,5.683332241,0.447763442,0.740667267,7.65216035,2.15039945,5.826191413
스맥,신규상장,3500,2009-05-26,5650000,0.643895876,0.197095103,0.151445828,8.055924922,6.537600759,0.206539662,12.89379253,4.129549974,3.685565503,-0.142907884,-0.486371117,7.082525842,1.072618991,6.6937459
이엔에프테크놀로지,신규상장,5500,2009-05-28,14200000,0.280309778,0.150554004,0.25291693,1.90676248,1.327191458,0.806979668,29.40432931,7.966701665,9.14173941,0.342002855,0.519454928,10.81430019,2.735119601,6.124268377
