Name,Item,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31
코오롱생명과학,유동자산,25533779,32785073,46031375,44206298,97241204.04,77360599.5,86848312.03,68856857.49,82379227.63,196816283.1,150975687.4,105716540.2,95289916.23,100563064.3
코오롱생명과학,재고자산,10644432,15755548,15618696,19115141,27868369.44,35830022.56,43285477.91,42591550.57,36251496.64,34733861.77,46531504.63,37427097.61,36063860.73,42790379.41
코오롱생명과학,매출채권및기타채권,5648100,5388121,13565664,9965387,30166989.13,24744825.79,22196713.23,18057581.85,17273450.97,21469489.05,21694342.65,24528850.09,29457396,34947534.1
코오롱생명과학,당좌자산,14889346,17029524,30412677,25091156,69372834.61,41530576.94,43562834.13,26265306.92,46127730.99,162082421,104444183.4,68289442.79,55096054.76,57772684.52
코오롱생명과학,부채총계,21149619,30771151,29455912,26077140,76232230.22,85597257.82,83270342.39,72721184.54,93174227.4,94784487.58,171384499.2,172757458.7,177274347.8,190380560.5
코오롱생명과학,유동부채,15409211,21551883,15806783,16154643,33727509.47,40049722.02,46300641.29,37535928.69,38440732.87,70211932.73,63056024.12,77009484.87,126173393.8,145152196.3
코오롱생명과학,순부채,-512263,2192693,-5879512,-7168698,16192890.96,43880160.82,41306896.9,50994167.37,47356587.34,-76866252.97,-29783357.99,27296114.78,57819596.21,61997897.39
코오롱생명과학,자본총계,16716112,24283675,49346437,57806128,73336116.72,106698318.2,123627654.2,136174777.7,135442195.9,259788454.3,545412213.6,446145814.2,101020433.2,57957133.08
코오롱생명과학,매출액,57441040,70247079,86782783,101882913,117192615.1,141254377.8,139611274.6,130632845.4,121175339.3,158284401,118102020.6,132680188.6,148541237,129412917.6
코오롱생명과학,매출총이익,12139562,18618212,25971767,25935239,33656360.14,45894017.85,43362085.4,33085180.58,25891126.17,48596708.43,28648285.84,10728900.77,25558916.16,18896079.66
코오롱생명과학,영업이익,4159164,8172402,12962439,9547819,12580121.74,22309259.94,18339171.63,9395533.47,2182724.24,18458994.96,-5544860.04,-34561006.2,-26542592.83,-25835487.49
코오롱생명과학,당기순이익,3450948,7588482,8841349,8564699,11169272.55,18902265.35,17228115.42,5855259.51,800139.3,12665386.97,-1403754.61,-50689554.41,-92323436.7,-43195229
코오롱생명과학,이자비용,581449,810871,761123,423692,1771028,1661733,1752195,2106820,1442807,1406669,1028162,1485296,3741357,5518087
코오롱생명과학,EBITDA2,5115880,9537478,14858404,12563794,15949817.89,26206494.9,25450104.91,18756993.04,11417606.23,27938483.21,5692962.02,-19718413.25,-12503572.91,-12805788.94
뷰웍스,유동자산,8941726,15395216,25816405,28964194,33504311.38,36846332.33,45369861.25,45309910.38,60826803.17,92225304.78,98645893.91,106718340.4,124410858.8,118201050.7
뷰웍스,재고자산,3084158,5370449,7001537,7735442,10773598.22,13870612.96,11741056.97,14771892.72,14584887.83,22490078.76,21596920,24120047.31,33227052.58,49485094.24
뷰웍스,매출채권및기타채권,2825120,3295303,4144577,6052832,8740219,7318200,9529800,10341885,16530657,25374583,22633531,22364108,21130977,23902667
뷰웍스,당좌자산,5857568,10024767,18814867,21228753,22730713.22,22975719.61,33628803.92,30538017.91,46241914.47,69735224.96,77048974.37,74703626,91183807.52,68715955.51
뷰웍스,부채총계,1087567,2336085,2281464,2457231,4781327.13,4735632.57,14482364.46,13444133.36,12297696.71,19564784.36,11559304.81,15630372.91,19560680.76,26280947.76
뷰웍스,유동부채,1087567,2336085,2281464,2457231,4110451.43,3733877.44,5627729.63,8785049.11,8284503.73,16748172.43,10745794.8,13406148.87,16881808.37,24956375.21
뷰웍스,순부채,-2741585,-5824819,-13954214,-14263761,-12967848.4,-13912994.87,-14775298.63,-9815032.56,-24732963.37,-39823125.29,-46344022.7,-56446709.25,-63327292.9,-32111610.16
뷰웍스,자본총계,13816692,20121709,34699136,42648902,48813963.26,53331284.76,61854809.73,70697727.34,84596358.3,110337066.1,126165824.3,140798963.5,161416251.7,170253745.5
뷰웍스,매출액,16725176,21282881,25553136,30497130,35629218.76,46820976.11,66501263.82,70811409.53,93438698.94,117303133.4,123460627,131403852.4,136009901.3,160263843.2
뷰웍스,매출총이익,9403968,12532217,12825446,14578601,16968328.27,23703986.14,31064295.44,34895527.62,42370149,60221823.66,62082656.06,65513647.22,71927156.22,82656579.12
뷰웍스,영업이익,5111772,6281671,6553591,7634831,7537269.1,7506155.16,12820596.1,13256807.63,18374747.78,30465390.52,28634930.18,22559420.65,26425917.87,29065623.39
뷰웍스,당기순이익,4539463,6176766,5692010,7349373,6707953.37,5664128.88,9465813.77,10479555.4,15896529.76,26979464.5,19631204.79,20771209.08,24216401.99,22893422.22
뷰웍스,이자비용,868,0,0,0,2832,56227,0,161238,21422,7878,9988,64445,67307,38046
뷰웍스,EBITDA2,5801740,7073321,7645464,8857922,8890740.1,10181085.16,15875064.1,16713352.63,22001321.78,33978168.52,32362413.18,25672708.65,29877188.87,32920773.39
에스앤에스텍,유동자산,14266525,22335952,33952483,25099911,38770754.04,44054289.51,35537284.63,25331509.53,37874434.81,31769194.42,34926369.22,41603664.45,53421966.36,93456096.94
에스앤에스텍,재고자산,2716274,4568106,4681444,4613799,7036542.86,8157344.59,6469841.63,5115428.13,8124159.65,7593004.03,8282230.8,10340977.22,14435209.16,21328511.34
에스앤에스텍,매출채권및기타채권,6752643,8783932,12117982,8669390,10864183.45,10709500.15,12120825.02,8959521.66,9860281.93,9638271.33,9478596.93,9846924.93,19629556.62,13965383.35
에스앤에스텍,당좌자산,11550250,17767846,29271038,20486112,31734211.19,35896944.92,29067443,20216081.41,29750275.03,24176190.4,26644138.43,31262687.42,38986757.19,72127585.6
에스앤에스텍,부채총계,27302947,27910824,30782519,30332222,65318521.84,72372175.41,75249840.52,37113851.12,30732797.47,45829794.48,42603472.36,44144939.31,46990903.6,21522470.38
에스앤에스텍,유동부채,20261095,12601764,20538286,18319359,32521648.18,42002840.05,50091906.56,18287687.84,22875631.1,24240281.24,18106092.35,28454113.32,35680207.76,15406191.45
에스앤에스텍,순부채,19128599,14809774,4149293,11069161,33403629.65,35699644.03,47193968.71,21220040.23,2651242,16203459.54,17400815.02,11489012.08,12492318.79,-48394644.21
에스앤에스텍,자본총계,26182102,29965769,46095018,50526233,61110894.37,59007513,50433485.82,47316719.89,65581321.09,75143905.24,78359801.72,79668014.44,88584280.17,164468299.7
에스앤에스텍,매출액,28199743,38000101,50564695,38637858,50210497.77,51816918.94,47029075.88,45730573.6,51210649.04,54012868.26,53899316.76,61016169.66,84466767.63,87374363.28
에스앤에스텍,매출총이익,7895393,10439581,12148786,11472693,13434274.04,9569439.16,14644213.38,15315646.76,18935520.29,15912474.99,11262399.58,14460713.85,22412236.32,23076325.98
에스앤에스텍,영업이익,3647550,5614215,6041528,5546197,4764952.26,-595219.36,7089873.47,6696712.97,10304129.62,7304858.09,2443054.94,5186245.78,11098096.64,11036484.32
에스앤에스텍,당기순이익,3499984,3855592,6686575,4333065,3388416,-1524172.98,-7132858.11,-4804005.9,7373238.1,8961484.84,3131677.82,4622717.85,10098863.17,10996462.17
에스앤에스텍,이자비용,1156878,1328859,1066164,876564,1517040.31,2660551.05,1380814.4,1157188.28,773156.17,566238.28,357087.85,775554.18,760192.09,370882.77
에스앤에스텍,EBITDA2,7595557,9969259,10492119,10742522,11538100.05,7918535.94,15887981.71,14231099.46,15799967.65,13413533.61,9749541.38,13707207.24,19883489.41,19686506.31
에이테크솔루션,유동자산,30784218,42185160,59669588,69453061,75142169.31,92159129.28,83026142.09,89000958.78,80447094.54,74279887.9,83062105.9,96079666.36,107491652.8,103210497.6
에이테크솔루션,재고자산,17233183,28777851,38146776,43773426,43157346.49,50962487.58,46134349.02,46243775.06,46686923.17,42179663,52259229.13,63168926.05,71322399.16,65308065.77
에이테크솔루션,매출채권및기타채권,12596824,10519188,15690966,19916878,27733510,32893012,31459189,36975405,28739058,27154809,25512029,28180065,31252581,31964950
에이테크솔루션,당좌자산,13551035,13407308,21522810,25679634,31984822,41196641,36891792.23,42757183.95,33760170,32100224,30802877,32910740,36169254,37902432
