상장유형,시장구분,종목명,상장일,공모가,공모금액,공모주식수,신주모집,구주매출,경쟁률,상장주식수,유통가능주식수,상장주선인
신규상장,KQ,코오롱생명과학,2009-04-07,23500 ,16920000 ,,,,,3420000 ,,삼성증권(주)
신규상장,KQ,뷰웍스,2009-04-10,9000 ,9450000 ,,,,,6047910 ,,한국투자증권(주)
신규상장,KQ,에스앤에스텍,2009-04-14,4000 ,9200000 ,,,,,10915980 ,,대우증권(주)
신규상장,KQ,에이테크솔루션,2009-04-17,5400 ,2700000 ,,,,,10000000 ,,현대증권(주)
신규상장,KQ,엔에스브이,2009-04-17,4300 ,10900500 ,,,,,8450000 ,,대우증권(주)
신규상장,KQ,에스티오,2009-04-17,5000 ,4700000 ,,,,,4998801 ,,삼성증권(주)
신규상장,KQ,티플랙스,2009-04-23,3000 ,3176910 ,,,,,5753000 ,,미래에셋증권(주)
신규상장,KQ,네프로아이티,2009-04-24,4500 ,3600000 ,,,,,3400000 ,,삼성증권(주)
신규상장,KQ,우림피티에스,2009-04-28,10000 ,19580000 ,,,,,8687300 ,,유안타증권(주)
신규상장,KQ,신텍,2009-04-30,12500 ,17500000 ,,,,,5450217 ,,엔에이치투자증권주식회사
신규상장,KQ,흥국,2009-05-12,4200 ,4713156 ,,,,,5328000 ,,한국투자증권(주)
신규상장,KQ,SDN,2009-05-19,10000 ,31496800 ,,,,,10000000 ,,미래에셋증권(주)
신규상장,KQ,한국정밀기계,2009-05-19,22000 ,50490000 ,,,,,7640000 ,,현대증권(주)
신규상장,KQ,에이치디,2009-05-21,8500 ,20825000 ,,,,,8150000 ,,메리츠종합금융증권(주)
신규상장,KQ,스맥,2009-05-26,3500 ,2091863 ,,,,,5650000 ,,미래에셋증권(주)
신규상장,KQ,이엔에프테크놀로지,2009-05-28,5500 ,14850000 ,,,,,14200000 ,,한국투자증권(주)
신규상장,KQ,차이나그레이트,2009-05-29,1700 ,51000000 ,,,,,100000000 ,,엔에이치투자증권(주)(농협)
신규상장,KQ,위메이드맥스,2009-06-03,55000 ,47891250 ,,,,,3400000 ,,교보증권(주)
신규상장,KQ,어보브반도체,2009-06-05,3300 ,4059000 ,,,,,10546833 ,,한국투자증권(주)
신규상장,KQ,동일금속,2009-07-28,8000 ,16800000 ,,,,,7000000 ,,유안타증권(주)
신규상장,KQ,게임빌,2009-07-30,15000 ,12600000 ,,,,,5484780 ,,유안타증권(주)
신규상장,KQ,에스앤더블류,2009-08-05,6700 ,5360000 ,,,,,7200000 ,,대신증권(주)
신규상장,KQ,동국S&C,2009-08-31,11000 ,251430300 ,,,,,57143000 ,,삼성증권(주)
신규상장,KQ,제넥신,2009-09-15,27000 ,27000000 ,,,,,4022870 ,,"교보증권(주),대우증권(주)"
