,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,
매출총이익률,0.105095867,0.078872148,0.120286281,0.12193041,0.088831846,0.074264526,0.073136753,0.063967368,0.048842718,0.07719761,0.063338546,0.040776856,0.07211415,0.06465221,0.041689029,0.049575845,0.081949425,0.050543264,0.020744917,0.034776367,0.046834015,0.03862649,0.069593203,0.047037549,0.050805662,0.072816792,0.024629826,0.044431612,0.069997105,0.054654944,0.057085334,0.056788471,
유동비율,0.108570432,0.123845716,0.116549368,0.119920735,0.113287642,0.10058593,0.133634495,0.084623723,0.047574837,0.050663693,0.068667405,0.050423723,0.050301457,0.053442547,0.069082907,0.052380452,0.065702784,0.034469511,0.06838066,0.104260761,0.102623888,0.10907991,0.077326602,0.039661646,0.105664093,0.084070259,0.102902663,0.044158272,0.051361232,0.06615372,0.066597954,0.045417487,
부채비율,0.079594871,0.095675206,0.067186186,0.136056967,0.118905057,0.177511108,0.157036767,0.036486967,0.030636412,0.030630266,0.040011652,0.048473136,0.044497552,0.030275529,0.071778758,0.045506274,0.068535002,0.053857168,0.056344045,0.077087948,0.064377412,0.044111202,0.066679901,0.0696228,0.111368796,0.087553148,0.041107144,0.07195246,0.0444596,0.045047317,0.061240894,0.090682005,
매출액증가율,0.049259713,0.074181964,0.053610547,0.105612563,0.049650575,0.063400011,0.080700246,0.136143319,0.089852596,0.034888689,0.081447614,0.103876378,0.077093871,0.060191179,0.064099673,0.091906151,0.079992615,0.10208579,0.078181478,0.07403712,0.123353347,0.105359555,0.102418794,0.285393497,0.240913762,0.209157974,0.21910808,0.194982556,0.239573078,0.254727046,0.143487663,0.149138579,
IPO_PER,0.136756615,0.095992195,0.132781033,0.096631959,0.105528108,0.113676893,0.108517704,0.1794608,0.153017374,0.209191595,0.168573965,0.186340915,0.154069019,0.169732501,0.153564812,0.12860123,0.086909196,0.151511028,0.17318978,0.187439177,0.183529196,0.179550864,0.12450559,0.115868001,0.039669657,0.090775727,0.079194795,0.075519744,0.089499691,0.120889383,0.107465151,0.10538454,
IPO_PBR,0.076291812,0.096064302,0.110762979,0.057193888,0.061785635,0.092395578,0.065003994,0.162505231,0.175035793,0.180604059,0.192415645,0.190379866,0.221769504,0.194044136,0.187991934,0.177725577,0.204079541,0.18922293,0.192814717,0.132434429,0.145822448,0.146321481,0.13910108,0.118694643,0.170601705,0.187450193,0.224833103,0.177168573,0.172435321,0.157848589,0.181385475,0.126620416,
IPO_EV/EBITDA,0.109062637,0.064247232,0.083595582,0.076240341,0.106919105,0.076287658,0.092235285,0.115476164,0.119652093,0.082677752,0.102454976,0.081630748,0.087268356,0.105168824,0.096269089,0.063481266,0.089371175,0.085184188,0.095552976,0.094475281,0.065531933,0.077339579,0.069907079,0.092125103,0.073431233,0.104602098,0.131540224,0.126693071,0.139339571,0.137577608,0.116503905,0.13062513,
1년 전 대비 시장수익률,0.209285158,0.158376297,0.077040771,0.098707866,0.120020768,0.10488165,0.125014199,0.055785219,0.065712793,0.14804086,0.075342497,0.055837036,0.084617955,0.0810362,0.078848136,0.070556427,0.104613389,0.07883394,0.090638606,0.052145423,0.0429625,0.081632965,0.066269158,0.085584856,0.04962526,0.069082193,0.037351577,0.061823158,0.061956947,0.048185625,0.08280904,0.102002062,
1년 전 대비 고객예탁금 증감률,0.0455267,0.058454507,0.081636413,0.059356973,0.073420737,0.056786462,0.024238005,0.040842444,0.085172862,0.078061023,0.072576811,0.069245223,0.08197992,0.093876463,0.089858217,0.075010528,0.060334824,0.075509661,0.074556041,0.082141406,0.055567005,0.062056712,0.079460904,0.066539046,0.058014465,0.041704738,0.067710205,0.101134907,0.051828032,0.07319719,0.073213538,0.124369253,
상장일 기준 국고3년시장금리,0.080556194,0.154290432,0.15655084,0.128348298,0.161650528,0.140210184,0.140482553,0.124708765,0.184502522,0.108044454,0.135170888,0.173016118,0.126288215,0.147580411,0.146817445,0.24525625,0.158512049,0.17878252,0.14959678,0.161202088,0.169398256,0.155921244,0.204737689,0.079472859,0.099905368,0.052786876,0.071622383,0.102135648,0.079549422,0.041718577,0.110211045,0.068972058,
Market,0.111789351,0.123707079,0.105076008,0.095471046,0.118364011,0.100626099,0.096578252,0.073778809,0.111796059,0.111382112,0.094363399,0.099366126,0.097628697,0.107497691,0.1051746,0.130274402,0.107820087,0.111042041,0.104930476,0.098496306,0.089309254,0.099870307,0.116822584,0.07719892,0.069181697,0.054524603,0.058894721,0.088364571,0.0644448,0.054367131,0.088744541,0.098447791,0.095791674
Value,0.107370355,0.085434576,0.109046531,0.076688729,0.091410949,0.094120043,0.088585661,0.152480732,0.149235086,0.157491135,0.154481529,0.152783843,0.15436896,0.156315154,0.145941945,0.123269358,0.126786637,0.141972715,0.153852491,0.138116296,0.131627859,0.134403974,0.111171249,0.108895915,0.094567532,0.12760934,0.145189374,0.126460462,0.133758195,0.13877186,0.135118177,0.120876695,0.127131355
Finance,0.085630221,0.093143759,0.089408096,0.120880169,0.09266878,0.103940394,0.111127065,0.080305344,0.054226641,0.048345064,0.063366304,0.060887523,0.061001757,0.052140366,0.061662592,0.059842181,0.074044957,0.060238933,0.055912775,0.072540549,0.084297166,0.074294289,0.079004625,0.110428873,0.127188078,0.113399543,0.096936928,0.088881225,0.101347754,0.105145757,0.082102961,0.085506635,0.082807728
