,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.028907827610195287,0.0035364725724512007,0.06625365057714376,0.036626763239919896,0.04177987229260615,0.08103257141386798,0.03646016029290504,0.04134903301866688,0.03554572088687317,0.06093775112291616,0.056473862315210135,0.04623687119552848,0.05474436685587425,0.03701187829078054,0.0637272500622898,0.047552386990292884,0.024101785056506432,0.03750114714054165,0.045419929266578736,0.045601564778473165,0.0760933222962745,0.0432096696868944,0.08078714013055961,0.09572449573123218,0.09345957589526124,0.08954792983468304,0.065704406921461,0.12957743273113487,0.07439708483801498,0.09805073957553644,0.05870774356287028,0.07488987383085997
유동비율,0.06613381003397864,0.03185229455932993,0.09746023419227104,0.02773616708082321,0.06158516194250205,0.09810621312495807,0.04525080346226066,0.03639822357775757,0.05435290337713804,0.050306751749156525,0.022172409707320963,0.022689431707213503,0.05545525265969947,0.07111519859494347,0.048501897133094884,0.052829438479790415,0.044855837017671735,0.040930271758072234,0.04021703416640071,0.044037510837613265,0.0305546830852922,0.04417281462305931,0.07635329741695826,0.0875280754114879,0.08511501847509581,0.08823203369488154,0.07537457280824032,0.05186682212082891,0.04724363624461888,0.046859603199249866,0.03669340974605067,0.043860466822804534
부채비율,0.03221394843472252,0.027936292923066937,0.111942786765341,0.05206531437936948,0.12608875856531332,0.1472309836823704,0.04192974360701085,0.04474657957325332,0.03855131730646715,0.06720090506885566,0.04902286650408831,0.05309323161335937,0.10159812144254983,0.10534901484273064,0.07993307687823374,0.034564944191307685,0.048016426439066416,0.0172619919926439,0.021202508025596426,0.08926273472711828,0.040142027681024664,0.1046401636477457,0.11670410540701286,0.08729973663577932,0.12018628704372315,0.08571034126265896,0.12275908001498248,0.061169048462434275,0.04163436972905039,0.04320676563660008,0.08368265236510603,0.13036619435095062
매출액증가율,0.04295110003709228,0.04968069750311456,0.056210841341848714,0.03797426048513007,0.022059027750485082,0.02365975206873479,0.08240344100026828,0.03302935076468496,0.02081048364585917,0.05350589686330171,0.052962876988466585,0.029855704945852112,0.024548516192615763,0.026974015862683352,0.027998030839063843,0.029730609966695038,0.01718063812191581,0.027446519436289184,0.01890422510194628,0.017576966725314253,0.03220168852934003,0.01764247735731847,0.021985693623898343,0.03760201786311572,0.06402820691416491,0.046773863884168015,0.04504535596697501,0.04363992871626925,0.02344924584278956,0.03193614739197019,0.0509925295749855,0.03816897507610991
3개월 후 PER,0.02991155186630097,0.06103525978365053,0.010571283966163627,0.03930572357559662,0.02161582141164759,0.009072008937162477,0.020761529636478995,0.05949231962956925,0.06868275789396311,0.06192741525856885,0.08460472900872165,0.07304259582076664,0.04708730615073292,0.039866868104607885,0.046787281858191886,0.058895350627940886,0.03956655227143464,0.0417534602211149,0.05904587625716993,0.0660614864620809,0.06603142651773869,0.07546457899684786,0.04973174241587351,0.0450241271630752,0.03963309851820723,0.0640957109695034,0.05370900709765037,0.04612209468654407,0.043099940899857324,0.03820989362767473,0.06383661863112143,0.08390524765476537
3개월 후 PBR,0.12210039224032852,0.06945984492174072,0.06397733588368311,0.11435539692557288,0.0630463397281725,0.08697151259900257,0.07540686164904073,0.060201414837178426,0.06453982042518529,0.032190611971504794,0.08335812882770309,0.08610949089130462,0.09244588192203207,0.040814211261763884,0.055307182945534376,0.04389653134457234,0.06776695190270017,0.0755036775457235,0.045339601406269005,0.1092569713162202,0.09281103876379904,0.07489668302642967,0.05958691634507901,0.08912299222438602,0.09701906813973582,0.07953968427480597,0.04389823671625119,0.061870381893164586,0.05375721222882289,0.08901284841364075,0.06813622777535802,0.03611375574518815
3개월 후 EV/EBITDA,0.05399975117707013,0.09328005543517344,0.03294871508184462,0.011887532663888818,0.03098372731264521,0.0246408358461015,0.013356386744870365,0.03176468721048572,0.03609906933472812,0.04435529382819064,0.021397341174912758,0.043383170545064666,0.027680120697574584,0.06002088306547081,0.0592505720207357,0.034918549329387844,0.02838657391263387,0.018250866614192462,0.04812608106158902,0.0731335230653623,0.04842576709568483,0.035683066991827585,0.04662036305791186,0.023743906669049956,0.018079573090124902,0.026046958633097268,0.02437161568367357,0.06928659658495011,0.04581085368155579,0.05052023829006602,0.05678352759931269,0.04619982726874639
3개월 평균 거래량회전율,0.16368577625465994,0.1469894369429407,0.08903803076654973,0.06630365891169479,0.09436723150034436,0.05477139414152298,0.09484317733360748,0.1339333483603549,0.0985007355477168,0.05757865853614268,0.0628512061987502,0.1419316363384043,0.14123868486417998,0.17664730405245266,0.21192331795768884,0.2409174143314836,0.23779156127807155,0.2310353101367821,0.14622972627518735,0.14295190448099748,0.1870238959521173,0.1451111901620322,0.14907471825890134,0.13934982585208308,0.14454063210259224,0.2013789835380797,0.1810349725660548,0.11925397193429088,0.12831275763097758,0.1410559213205975,0.13987174301686994,0.08646775962343271
3개월 평균 일중변동률,0.08359918369753742,0.1015197799729142,0.050536787721850635,0.09581057080156824,0.07661579309047425,0.09103880564332748,0.08389407201011774,0.0357793892739,0.019787471564185703,0.026022812452805046,0.04012685616514328,0.08410337057051967,0.10407275447866526,0.0842033483276802,0.12837220862982365,0.15298766765243604,0.11546351076307085,0.11814786934229295,0.17714542060850572,0.08405249449002608,0.13865288411605164,0.1252696740964713,0.13658906595983494,0.13309597865570846,0.13531376318347865,0.11872992131644708,0.11356806184163346,0.06597719571093667,0.13638249648755765,0.12841119550277688,0.10270647101299664,0.1251743835618808
3달 후 시장 회전율,0.06003914829212236,0.0957216815702058,0.15849807283152234,0.17869284319247994,0.1642878333365003,0.15956937438847316,0.1545116113675748,0.1310910022192356,0.13927081100980115,0.17788220600359905,0.15930288084750585,0.10061761010548054,0.09116944933627934,0.08364008281265871,0.07981988277105116,0.09491913202119408,0.061147612770115524,0.04966580270739482,0.04472806233068391,0.026997232287006158,0.039590466095654885,0.05517717068009685,0.039735530107504385,0.02447646449145513,0.024204850354639585,0.018476007334115075,0.055900405903549305,0.09489137767406047,0.13049737509982515,0.09631697149875124,0.07362906454681667,0.09073713939754784
