,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,
매출총이익률,0.063486599,0.064959581,0.100765882,0.060719156,0.09332332,0.099209005,0.117272951,0.102285654,0.06810591,0.043540711,0.070110905,0.068825433,0.109432851,0.086354124,0.09079991,0.091452501,0.07168621,0.042414903,0.079763341,0.057969163,0.046666495,0.057856924,0.086100417,0.057800179,0.041454843,0.054745747,0.08735255,0.042868417,0.055134056,0.08068082,0.073038575,0.110519515,
유동비율,0.158329994,0.156728455,0.142249242,0.115069984,0.124123462,0.07359339,0.115138861,0.065900785,0.070224511,0.036036176,0.066555983,0.061414981,0.029632866,0.065545019,0.049393514,0.056969885,0.089085973,0.094635468,0.111715315,0.078288906,0.0826834,0.05515216,0.083749976,0.103404032,0.114600598,0.111473889,0.151100931,0.099411758,0.144807681,0.112644994,0.125963565,0.153073536,
부채비율,0.140794207,0.088122141,0.10279763,0.066051396,0.081479363,0.114821753,0.051743129,0.079024313,0.090350297,0.064569124,0.086839554,0.080241462,0.09258039,0.095366489,0.114944963,0.121289635,0.135145708,0.139298753,0.108817975,0.097856703,0.09157331,0.093826513,0.13958678,0.145088188,0.102874025,0.077932948,0.091705977,0.106439421,0.088858768,0.112271316,0.085878788,0.112472411,
매출액증가율,0.073798363,0.138187922,0.117171382,0.056914122,0.058273957,0.066911273,0.072394598,0.042416885,0.070099334,0.059476139,0.041162217,0.075218486,0.084848443,0.032691008,0.053575944,0.05758761,0.068030994,0.080105441,0.067118901,0.06062353,0.061724069,0.061865389,0.077785611,0.053847331,0.084788921,0.056545287,0.05908209,0.053262917,0.053492861,0.07328656,0.059000476,0.078497972,
1년 전 대비 시장수익률,0.082199189,0.059484549,0.074899785,0.097435205,0.083793641,0.08616433,0.104016433,0.096370609,0.076138838,0.146487021,0.082389513,0.136569661,0.147845949,0.139928513,0.107679468,0.12119598,0.139435179,0.07007477,0.089016195,0.08167317,0.12374471,0.148003301,0.08946593,0.062669176,0.09570989,0.116544589,0.048476454,0.01435983,0.085760584,0.090854409,0.107156101,0.100831603,
1년 전 대비 고객예탁금 증감률,0.067072057,0.056243791,0.022784894,0.121126023,0.109719147,0.175367627,0.183990785,0.182247331,0.160885637,0.155687389,0.231603029,0.124703608,0.124264714,0.090347238,0.142174669,0.095836114,0.050334984,0.049583669,0.064961147,0.094069067,0.078447595,0.081123319,0.035509105,0.036521337,0.041983813,0.049560502,0.061610142,0.040066059,0.051877838,0.046905633,0.070818014,0.027363766,
상장일 기준 국고3년시장금리,0.078837836,0.120499344,0.087900804,0.110201575,0.14208177,0.105439837,0.138236489,0.249164285,0.310493655,0.231572418,0.261665222,0.208451582,0.181104399,0.112549146,0.193319717,0.184329458,0.101677782,0.143889232,0.173512475,0.179031339,0.205133563,0.16408401,0.12707206,0.062117001,0.034787167,0.057419272,0.127860424,0.091050613,0.038899519,0.05596791,0.043224291,0.054085702,
종가_PER,0.071070257,0.058872322,0.060822347,0.075911711,0.060384471,0.062468622,0.031876283,0.049635708,0.040227936,0.102015695,0.059143658,0.095042595,0.062882152,0.133048481,0.111699061,0.096546812,0.138047846,0.139830642,0.131458162,0.09832274,0.112649029,0.106295924,0.134560186,0.226239881,0.223230558,0.226693912,0.117943865,0.241093791,0.199954967,0.170265783,0.218602854,0.220039981,
종가_PBR,0.121769504,0.0927653,0.088170372,0.13298433,0.12349655,0.082976445,0.079470921,0.056487927,0.039015301,0.046371783,0.0344811,0.053684992,0.054913126,0.056631919,0.039841591,0.088120725,0.082183127,0.117663203,0.080006594,0.137442839,0.118687436,0.115040293,0.114457098,0.134778921,0.12474953,0.105067677,0.123259546,0.099398841,0.090157577,0.078136889,0.032457972,0.033812111,
종가_EV/EBITDA,0.142641994,0.164136596,0.202437662,0.163586497,0.123324318,0.133047718,0.10585955,0.076466503,0.074458583,0.114243544,0.06604882,0.095847201,0.11249511,0.187538061,0.096571163,0.08667128,0.124372197,0.122503919,0.093629896,0.114722543,0.078690393,0.116752167,0.111712837,0.117533954,0.135820654,0.144016177,0.131608022,0.212048353,0.191056149,0.178985686,0.183859362,0.109303402,
